,mqn_1,mqn_2,mqn_3,mqn_4,mqn_6,mqn_8,mqn_9,mqn_10,mqn_11,mqn_13,mqn_14,mqn_15,mqn_16,mqn_17,mqn_20,mqn_22,mqn_24,mqn_25,mqn_26,mqn_28,mqn_29,mqn_30,mqn_31,mqn_32,mqn_34,mqn_35,mqn_36,mqn_37,mqn_41
31,21,1,0,0,0,1,2,3,0,11,1,0,12,6,9,2,0,1,4,1,0,11,7,0,0,0,3,0,0
32,10,0,0,0,0,0,4,2,1,3,1,0,10,5,10,2,0,0,2,0,0,8,6,0,0,2,1,0,2
33,23,0,0,0,0,1,3,5,1,15,3,0,12,5,16,3,0,1,5,1,0,8,8,0,0,0,3,0,2
34,14,0,0,0,0,0,0,4,1,8,2,0,5,5,10,0,0,0,5,2,0,4,5,0,0,1,1,0,2
35,22,0,0,0,0,1,2,2,2,9,1,0,11,11,11,1,0,0,2,2,0,16,6,0,0,2,2,0,0
36,19,0,0,0,1,1,1,4,0,7,3,0,9,9,11,0,1,0,4,2,1,14,4,0,0,0,3,0,0
37,17,0,0,0,0,0,1,2,0,4,1,0,9,8,6,0,1,0,3,0,0,9,7,0,0,0,3,0,2
38,20,0,0,0,0,1,4,1,1,8,0,0,14,8,9,3,0,1,2,0,0,13,8,0,0,1,3,0,2
39,16,0,0,0,2,0,3,3,0,9,1,0,11,5,9,0,0,0,4,1,0,8,7,0,0,1,2,0,2
40,17,0,0,0,0,0,3,3,0,3,2,0,13,8,9,0,0,0,3,0,0,10,9,0,0,0,4,0,4
41,23,0,0,0,1,1,2,4,1,6,4,0,18,8,13,1,0,0,4,1,1,15,9,0,0,2,3,0,4
42,14,0,0,1,2,1,0,3,0,7,2,0,9,5,7,1,0,0,4,2,0,7,6,0,0,3,0,0,2
43,11,0,0,0,2,1,1,4,0,7,3,0,5,5,10,1,0,0,5,1,1,5,4,0,0,1,1,0,2
44,16,0,0,0,0,1,0,6,0,11,3,1,6,3,13,0,0,0,7,3,0,5,2,2,0,0,1,0,0
45,17,0,0,0,1,1,3,0,0,4,0,0,11,10,4,2,0,0,2,0,0,12,8,0,0,2,2,0,2
46,23,0,0,0,1,2,0,5,2,11,3,0,13,9,16,1,0,0,5,2,1,14,7,0,0,1,3,0,2
47,25,0,0,0,0,1,2,2,0,9,2,0,19,3,7,2,0,1,2,1,0,15,7,0,0,2,2,0,0
48,21,3,0,0,0,1,5,2,0,11,2,0,11,11,10,1,0,0,7,0,1,10,11,0,0,1,3,0,2
49,18,0,0,0,0,0,1,3,0,9,0,0,8,7,7,1,0,0,1,0,0,8,5,0,0,1,2,0,4
50,20,0,0,0,0,2,3,1,0,10,1,0,9,8,7,3,0,0,6,1,0,8,9,0,0,1,2,0,0
51,18,0,0,1,0,2,1,1,1,7,1,1,10,7,7,3,0,1,6,0,0,6,10,0,0,0,3,0,2
52,18,1,0,0,1,1,2,3,0,7,3,0,12,6,9,1,0,0,4,1,1,13,5,0,0,0,3,0,0
53,14,0,1,1,0,0,1,1,2,4,1,0,14,3,7,0,0,0,3,1,0,11,4,1,0,1,2,0,1
54,16,5,0,0,0,1,4,2,0,13,1,0,8,8,9,1,0,0,8,2,1,7,8,0,0,1,2,0,2
55,19,0,0,0,1,1,3,2,1,4,2,0,13,12,10,1,0,0,2,1,0,13,9,0,0,2,3,0,6
56,20,0,0,0,0,1,0,0,0,5,1,0,11,6,1,1,0,1,2,1,0,10,5,0,0,0,2,1,4
57,24,0,0,0,0,1,3,2,0,10,2,0,13,8,8,1,0,0,4,1,0,10,9,0,0,1,3,0,4
58,15,0,0,0,0,1,1,2,0,6,2,0,8,4,7,0,1,0,4,0,0,7,4,1,0,0,2,0,0
59,18,0,0,0,0,1,3,1,1,9,1,0,8,8,8,1,0,0,4,2,0,10,6,0,0,2,1,0,0
60,16,0,0,0,0,1,4,3,1,8,1,0,12,6,13,2,0,0,3,1,0,12,6,0,0,0,3,0,0
61,16,0,0,0,0,1,1,1,2,6,1,0,11,5,8,1,0,0,2,1,0,11,5,0,0,2,1,0,0
62,11,0,0,0,0,1,2,3,0,9,2,0,3,3,9,2,0,1,5,1,0,2,4,0,0,0,1,0,0
63,9,0,0,0,1,0,3,4,1,5,2,0,9,3,15,0,2,0,5,0,1,7,5,0,0,0,2,0,0
64,21,0,0,1,1,0,5,2,0,7,3,0,15,8,9,1,0,0,4,1,0,13,9,0,0,0,4,0,2
65,11,0,0,0,1,2,0,1,0,6,3,0,3,3,4,2,0,0,3,2,0,5,1,0,0,0,1,0,0
66,19,3,0,0,0,0,4,4,0,11,1,0,15,6,12,1,0,0,7,0,1,8,11,0,0,1,3,0,4
67,17,0,0,0,0,0,2,2,1,2,2,0,13,8,8,0,0,0,3,0,0,10,9,0,0,1,3,0,4
68,20,0,0,0,1,1,2,3,0,10,2,0,9,8,9,1,0,0,3,1,0,10,6,0,0,0,3,0,2
69,17,0,0,0,0,0,1,2,0,4,1,0,11,6,5,0,0,0,2,1,0,11,5,0,0,0,3,0,2
70,25,0,0,0,1,3,1,4,0,15,4,0,9,8,12,1,0,0,8,3,1,9,7,0,0,0,3,0,2
71,23,0,0,0,0,2,1,2,4,8,1,1,19,7,15,3,0,1,5,0,0,11,13,0,0,2,3,0,4
72,17,0,0,0,2,1,2,3,0,9,3,0,8,7,9,2,0,0,3,1,0,8,6,0,0,2,1,0,2
73,24,0,1,0,1,1,2,3,1,10,3,0,15,8,11,1,0,0,6,1,1,14,9,0,0,1,3,0,0
74,19,0,0,0,1,1,3,4,0,10,3,0,12,5,12,2,0,0,6,1,1,10,7,0,0,1,2,0,0
75,10,0,0,0,1,1,2,3,0,10,2,0,3,2,10,1,1,0,5,3,0,3,2,0,0,1,0,0,0
76,10,0,0,0,1,1,2,2,0,6,1,0,5,5,8,1,1,0,3,1,0,5,4,0,0,1,1,0,2
77,17,0,0,0,0,0,3,4,0,5,3,0,13,5,11,1,0,0,3,2,0,12,5,0,0,0,2,1,2
78,9,0,0,0,0,0,4,1,0,4,1,0,5,5,6,1,0,0,3,0,0,4,5,0,0,1,1,0,2
79,14,0,0,0,1,1,2,2,0,9,1,0,6,5,8,1,2,0,3,1,0,6,4,0,0,0,2,0,2
80,14,0,0,0,0,3,1,1,0,6,1,1,6,6,6,2,0,0,3,1,0,8,4,0,0,0,2,0,0
81,11,0,0,0,2,1,1,3,0,11,2,0,3,2,8,1,0,0,5,2,0,2,3,0,0,1,0,0,0
82,13,0,0,0,3,1,4,1,0,8,1,0,8,7,7,1,0,0,3,1,0,9,6,0,0,3,0,0,0
83,19,0,0,0,0,1,0,3,1,7,2,0,9,8,9,1,0,0,2,2,0,13,4,0,0,1,2,0,0
84,18,0,1,0,0,0,2,3,0,9,0,0,9,8,8,2,0,0,5,0,0,8,9,0,0,1,2,0,0
85,21,0,0,0,0,1,1,6,1,14,1,0,10,7,16,1,0,0,6,1,0,8,9,0,0,1,2,0,0
86,17,0,0,0,0,0,1,1,0,7,1,0,9,3,3,2,0,1,2,0,1,10,2,0,0,0,2,0,0
87,14,0,0,0,0,0,3,0,0,3,0,0,8,8,3,0,0,0,2,0,0,9,6,0,0,1,2,0,2
88,17,0,0,0,0,1,0,3,0,9,1,0,6,6,7,1,0,0,3,1,0,8,4,0,0,0,2,0,0
89,17,0,0,0,0,2,0,3,2,8,2,0,10,6,12,2,0,0,3,2,0,10,5,0,0,1,2,0,2
90,14,0,0,0,0,1,2,1,0,7,0,0,6,6,5,0,0,0,2,1,0,9,3,0,0,0,2,0,0
91,11,1,1,0,0,1,0,1,0,8,1,0,3,3,3,1,0,0,5,2,0,3,3,0,0,0,1,0,0
92,21,0,0,0,0,0,4,2,0,8,0,0,13,9,8,2,0,0,2,0,0,13,8,0,0,1,3,0,2
93,14,0,0,0,1,1,1,2,1,6,1,0,10,5,9,2,1,0,5,1,0,6,6,1,0,1,2,0,4
94,16,0,0,0,0,1,1,1,1,4,1,0,11,6,6,1,0,0,1,1,0,13,4,0,0,1,2,0,0
95,22,0,1,0,0,0,1,4,0,7,2,0,17,5,9,1,0,0,6,0,0,8,12,0,0,0,4,0,4
96,26,0,0,0,0,0,1,5,1,8,3,0,16,10,14,1,1,0,6,2,0,12,12,0,0,2,3,0,4
97,15,0,0,0,1,1,2,3,2,6,3,0,15,2,13,1,0,0,3,1,1,13,4,0,0,1,2,0,0
98,17,0,0,0,1,2,0,1,0,6,1,0,11,5,4,1,0,0,1,2,0,13,3,0,0,2,1,0,0
99,15,0,0,0,0,0,3,3,0,6,2,0,10,5,10,0,1,0,3,2,0,9,5,0,0,2,1,0,2
100,16,0,0,0,1,1,1,1,1,9,1,0,9,3,6,2,0,1,2,1,0,9,3,0,0,0,2,0,0
101,16,0,0,0,1,0,7,2,0,11,1,0,8,8,11,0,0,0,3,1,0,10,6,0,0,2,1,0,0
102,23,0,0,0,0,1,3,1,0,12,1,0,12,5,6,2,0,1,4,1,0,9,7,0,0,0,3,0,2
103,24,1,0,0,1,1,5,1,1,10,1,0,14,13,10,0,0,0,2,2,0,18,8,0,0,2,3,0,2
104,13,0,0,1,0,0,1,2,1,5,2,0,9,3,7,0,0,0,5,1,0,7,4,1,0,0,2,0,0
105,22,0,0,0,0,1,5,3,0,15,1,0,12,5,12,3,0,1,6,3,0,10,7,0,0,1,2,0,0
106,18,0,0,0,0,0,3,5,0,8,3,0,11,6,13,1,0,0,4,2,0,10,6,0,0,0,3,0,2
107,16,0,0,0,0,0,2,4,0,7,1,0,8,8,11,0,1,0,4,1,0,8,7,0,0,1,2,0,2
108,14,0,1,1,0,2,0,2,1,9,2,0,6,5,8,2,0,0,5,2,0,6,5,0,0,1,1,0,0
109,12,0,0,0,0,0,0,2,0,7,1,0,3,3,5,0,1,0,3,1,0,4,2,0,0,0,1,0,0
110,24,0,0,0,1,1,3,5,0,13,3,0,13,8,14,3,0,2,5,2,0,10,9,0,0,1,3,0,4
111,16,0,0,0,1,1,1,2,0,8,2,0,6,6,6,1,0,0,3,0,1,9,3,0,0,0,2,0,0
112,28,0,0,0,0,1,3,1,1,13,1,0,18,5,8,3,0,2,5,1,0,13,10,0,0,1,3,0,0
113,20,0,0,0,0,0,3,3,0,10,2,0,8,8,9,0,0,0,7,1,0,6,10,0,0,2,1,0,0
114,16,0,0,0,3,0,2,2,0,4,2,0,12,8,6,0,0,0,3,0,1,11,7,0,0,2,2,0,4
115,22,0,0,0,1,2,2,3,0,8,3,0,14,8,10,1,0,0,4,2,0,14,6,1,0,1,3,0,2
116,14,1,0,0,2,2,0,3,0,9,3,0,6,5,8,1,0,0,6,2,1,7,4,0,0,1,1,0,0
117,9,0,0,0,1,0,2,0,0,0,0,0,7,7,2,0,0,0,0,0,0,8,4,0,0,2,1,0,4
118,23,0,0,0,0,1,1,2,2,5,2,0,20,6,10,1,0,0,2,1,0,15,9,0,0,2,3,0,4
119,17,0,0,0,0,0,1,2,1,6,1,0,11,5,7,1,0,1,2,1,0,10,5,0,0,1,2,0,2
120,21,0,0,0,1,1,2,2,1,12,1,0,9,8,9,1,0,0,3,1,0,11,6,0,0,1,2,0,0
121,22,0,0,0,0,1,2,3,0,11,2,0,11,6,9,3,0,1,5,2,0,11,5,1,0,1,2,0,0
122,22,0,0,0,1,1,3,3,0,7,3,1,14,8,10,1,0,0,5,2,1,14,7,0,0,1,3,0,2
123,16,0,0,0,3,2,2,3,0,10,3,0,8,7,10,2,0,0,6,3,1,9,5,0,0,2,1,0,2
124,17,1,0,0,1,1,2,1,0,8,1,0,8,8,5,1,0,0,3,1,0,9,6,0,0,1,2,0,2
125,23,0,0,0,0,1,2,2,0,7,2,0,18,5,7,0,0,0,5,2,0,11,9,1,0,1,5,0,10
126,15,0,0,0,2,1,1,3,0,6,3,0,10,5,8,1,0,0,4,1,1,9,5,0,0,2,1,0,2
127,20,0,0,0,0,1,1,2,2,5,2,0,16,6,10,1,0,0,3,1,0,13,8,0,0,1,3,0,2
128,12,0,0,0,1,1,1,2,0,5,1,0,11,2,6,2,0,0,3,1,0,5,6,0,0,1,3,0,8
129,20,0,0,0,1,1,1,2,0,10,1,0,8,8,7,2,1,1,4,1,0,9,7,0,0,2,1,0,0
130,18,0,0,0,0,1,2,1,0,7,1,0,8,8,5,1,0,0,2,1,0,10,5,0,0,1,2,0,2
131,20,0,0,0,1,0,2,4,1,7,4,0,15,5,12,0,0,0,6,1,0,9,9,1,0,3,1,0,2
132,26,0,0,0,0,1,5,1,2,13,0,0,16,10,12,2,0,1,4,2,0,15,10,0,0,3,2,0,2
133,10,0,0,0,1,1,2,1,0,4,1,0,7,4,5,3,0,1,3,1,0,7,4,0,0,1,1,0,0
134,20,0,0,0,1,1,3,2,1,9,1,0,16,5,10,3,0,1,6,1,0,9,9,1,0,1,3,0,4
135,16,0,1,0,2,1,0,3,0,6,3,0,11,5,7,0,0,0,4,2,0,11,4,1,0,2,1,0,0
136,15,0,0,1,0,1,2,3,0,10,2,0,6,5,9,1,0,0,5,2,0,6,5,0,0,1,1,0,0
137,23,0,0,0,0,1,5,1,0,5,1,0,20,8,8,1,0,0,1,1,0,19,8,0,0,1,4,0,2
138,14,0,2,0,0,1,1,3,0,9,1,0,6,6,8,1,0,0,5,1,0,6,6,0,0,0,2,0,0
139,18,0,0,0,0,1,1,3,0,10,2,0,10,2,8,1,0,0,6,2,0,6,6,0,0,1,0,1,0
140,17,0,0,0,0,1,0,2,0,8,1,0,6,6,5,2,0,1,3,3,0,10,2,0,0,0,2,0,0
141,19,0,0,0,2,2,1,4,0,10,4,0,8,8,11,1,0,0,6,2,1,9,6,0,0,1,2,0,2
142,18,0,1,0,0,0,2,2,0,6,1,0,12,6,6,0,0,0,3,1,0,12,6,0,0,0,3,0,0
143,21,0,0,0,2,1,2,1,0,9,1,1,10,8,5,1,0,0,4,1,0,11,7,0,0,0,3,0,0
144,17,0,0,0,0,1,1,3,2,7,2,0,12,5,12,2,0,1,3,1,0,10,6,0,0,0,3,0,2
145,10,0,0,0,1,1,2,1,1,6,1,0,5,5,7,1,0,0,2,1,0,7,3,0,0,2,0,0,0
146,10,0,0,0,1,0,2,2,0,6,1,0,7,2,6,1,0,1,2,1,0,5,3,0,0,2,0,0,2
147,14,0,0,0,0,0,4,1,1,3,1,0,15,3,8,0,0,0,1,1,0,14,4,0,0,0,3,0,0
148,16,0,1,0,1,1,1,1,0,7,2,1,8,4,4,1,0,0,5,1,0,6,6,0,0,0,2,0,0
149,20,0,0,0,1,2,2,1,0,9,1,1,9,8,6,1,0,0,2,1,0,12,5,0,0,1,2,0,0
150,22,0,0,0,0,2,1,3,0,10,2,0,12,6,9,2,0,0,5,2,0,11,7,0,0,0,3,0,0
151,26,0,0,0,0,1,3,3,2,11,2,0,18,8,14,3,0,1,4,2,0,14,10,0,0,2,3,0,4
152,21,0,0,0,1,1,3,3,1,14,2,0,11,5,12,1,0,0,7,2,1,9,7,0,0,2,1,0,0
153,19,0,0,0,0,1,1,6,1,11,3,0,11,5,16,4,0,1,7,2,0,6,7,1,0,1,2,0,3
154,20,0,0,0,0,1,3,0,0,4,0,1,11,11,4,0,0,0,2,0,0,13,8,0,0,1,3,0,2
155,11,0,1,0,0,2,2,2,0,6,2,0,7,4,8,3,0,1,4,1,0,6,5,0,0,1,1,0,0
156,16,0,0,0,0,0,2,1,0,5,1,0,10,5,4,1,0,0,3,0,0,6,7,0,0,1,2,0,4
157,16,0,0,0,1,1,3,1,0,7,1,0,11,5,6,3,0,1,1,1,0,11,4,0,0,1,2,0,2
158,10,0,0,0,0,1,3,4,0,9,3,0,3,3,12,3,0,0,5,2,0,3,3,0,0,0,1,0,0
159,25,0,0,0,0,1,3,4,0,10,3,0,15,8,12,3,0,1,4,1,0,13,9,0,0,0,4,0,2
160,17,0,0,0,1,2,3,2,0,9,1,0,9,8,9,3,0,0,3,1,0,11,6,0,0,1,2,0,0
161,20,0,0,0,1,2,1,5,0,14,5,0,6,5,13,1,0,0,8,2,1,4,6,0,0,0,2,0,2
162,19,1,0,0,0,0,3,3,0,7,2,0,15,5,10,1,1,1,5,1,0,9,10,0,0,0,3,0,2
163,19,0,0,0,0,0,6,0,0,10,0,0,12,5,6,1,0,1,4,2,0,11,6,0,0,1,2,0,0
164,14,0,0,0,0,0,1,4,0,9,1,0,5,5,9,2,0,0,5,1,0,3,6,0,0,1,1,0,2
165,15,0,0,0,2,1,2,1,0,6,1,0,8,8,5,1,0,0,2,1,0,11,5,0,0,2,1,0,0
166,12,0,0,0,2,0,1,4,0,6,3,0,9,2,9,0,0,0,4,1,1,8,3,0,0,1,1,0,0
167,20,0,0,0,1,2,1,3,0,13,3,0,9,3,9,2,0,1,5,2,1,9,3,0,0,0,2,0,0
168,17,0,0,0,0,1,0,7,0,15,4,0,3,3,15,1,0,0,7,4,0,3,3,0,0,0,1,0,0
169,14,0,1,0,0,0,2,2,0,7,1,0,9,3,6,1,0,1,3,1,0,8,4,0,0,0,2,0,0
170,26,1,0,0,0,2,2,4,1,13,4,0,11,11,14,2,0,0,5,2,0,12,9,0,0,1,3,0,2
171,20,0,0,0,0,0,0,7,0,13,3,0,9,3,14,1,0,0,8,2,0,5,6,1,0,0,2,0,0
172,21,1,0,0,1,2,1,4,0,11,4,0,11,6,11,2,0,0,6,1,1,10,7,0,0,1,2,0,0
173,26,0,0,0,0,2,2,4,1,12,4,0,11,11,14,2,0,0,6,3,0,12,9,0,0,1,3,0,2
174,26,0,0,0,0,1,2,6,1,9,6,0,21,4,17,0,0,0,8,1,0,8,13,1,0,2,3,0,6
175,17,0,1,0,2,2,3,2,1,11,3,0,8,8,11,1,0,0,5,0,2,11,5,0,0,2,1,0,0
176,20,2,0,0,0,1,4,1,3,7,0,0,19,9,13,1,0,0,2,0,0,17,10,0,0,1,4,0,2
177,22,0,0,0,1,0,2,3,1,5,2,0,18,8,10,0,0,0,3,0,0,14,11,0,0,3,2,0,2
178,19,0,1,0,0,1,1,1,1,5,1,0,13,8,6,1,0,0,2,1,0,13,7,0,0,2,2,0,2
179,13,0,1,0,1,3,3,2,0,10,2,0,6,6,10,2,1,0,6,1,1,7,5,0,0,0,2,0,0
180,13,0,0,0,2,0,3,3,0,4,3,0,10,6,9,0,0,0,4,0,1,9,6,0,0,1,2,0,2
181,13,0,0,0,2,1,2,1,0,5,1,0,10,5,5,1,0,0,3,1,0,8,6,0,0,2,1,0,2
182,22,0,0,0,1,1,3,3,1,10,2,0,11,11,12,1,0,0,3,2,0,15,7,0,0,2,2,0,0
183,21,0,0,0,0,0,2,2,1,6,2,0,14,7,8,0,0,0,3,2,0,13,7,0,0,2,2,0,2
184,16,0,0,0,1,0,2,2,1,8,1,0,8,7,8,0,0,0,3,1,0,8,6,0,0,2,1,0,2
185,17,0,0,0,0,1,0,2,0,6,3,0,6,6,5,1,0,0,3,2,0,9,3,0,0,0,2,0,0
186,22,0,1,0,0,1,2,3,0,12,1,0,12,6,9,2,0,1,4,1,0,11,7,0,0,0,3,0,0
187,19,0,0,0,2,1,0,3,1,6,3,0,13,7,9,0,0,0,4,2,0,12,6,1,0,3,1,0,2
188,15,0,0,0,1,1,3,3,0,6,3,0,11,5,10,1,0,0,5,0,1,9,7,0,0,2,1,0,0
189,19,0,0,0,0,1,0,3,1,7,2,0,9,8,10,1,1,0,4,2,0,11,6,0,0,1,2,0,0
190,14,0,0,0,3,1,4,2,0,9,1,0,8,8,9,1,0,0,3,1,0,10,6,0,0,2,1,0,0
191,23,0,1,0,0,1,4,2,0,10,2,0,11,11,9,1,0,1,6,1,0,10,11,0,0,1,3,0,2
192,18,0,0,0,0,0,3,3,0,8,1,0,12,5,9,2,0,1,4,1,0,9,7,0,0,0,3,0,2
193,20,0,0,0,0,1,3,1,0,4,1,0,15,8,6,2,0,0,2,1,0,15,7,0,0,0,4,0,2
194,24,0,0,0,1,2,2,3,2,13,3,0,13,8,14,1,0,0,8,3,1,11,9,0,0,2,2,0,2
195,18,0,0,0,1,2,0,5,0,12,3,0,6,6,12,2,0,0,4,1,1,9,3,0,0,0,2,0,0
196,14,0,0,0,3,1,1,0,0,4,1,1,8,7,2,0,0,0,1,1,0,10,4,0,0,2,1,0,2
197,18,0,0,0,0,1,3,3,1,10,1,0,9,8,12,1,0,0,3,1,0,11,6,0,0,1,2,0,0
198,14,0,0,1,2,0,3,0,0,6,0,0,8,8,3,0,0,0,2,0,0,10,6,0,0,2,1,0,0
199,15,0,0,0,1,0,3,3,0,6,2,0,11,5,9,0,0,0,3,2,0,10,5,0,0,1,2,0,2
200,17,0,0,0,1,0,4,0,1,6,0,0,10,10,6,0,0,0,3,0,0,9,9,0,0,2,2,0,4
201,23,0,0,0,0,1,1,2,2,10,1,0,14,7,10,2,0,1,5,1,0,10,8,1,0,1,3,0,4
202,15,0,0,0,1,1,2,1,0,7,2,0,9,3,5,0,0,0,5,3,0,8,4,0,0,0,2,0,0
203,14,0,1,0,0,1,0,1,0,5,1,0,9,3,3,0,0,0,3,2,0,9,3,0,0,0,2,0,0
204,16,0,0,0,0,2,2,1,0,6,1,0,8,8,6,3,0,0,1,1,0,11,4,0,0,1,2,0,2
205,13,0,0,0,0,1,4,1,0,3,1,1,8,8,7,0,0,0,3,0,0,8,7,0,0,1,2,0,2
206,17,0,0,0,1,1,1,3,1,10,3,0,9,3,10,1,0,0,6,1,2,9,3,0,0,0,2,0,0
207,20,0,0,0,1,0,2,2,1,4,2,0,17,6,8,0,0,0,2,1,0,15,7,0,0,0,4,0,2
208,16,0,0,0,0,0,5,4,0,9,2,0,8,8,13,0,0,0,5,2,0,8,7,0,0,1,2,0,2
209,18,0,0,0,1,0,3,1,2,10,1,0,11,5,9,0,0,0,4,2,0,9,6,0,0,1,2,0,2
210,17,0,0,0,2,1,3,4,1,12,3,0,8,7,15,1,1,0,5,2,0,7,7,0,0,2,1,0,2
211,16,0,0,0,0,0,4,1,0,2,1,0,13,8,6,0,0,0,2,0,0,11,8,0,0,1,3,0,4
212,20,0,0,0,1,0,2,2,0,4,2,0,16,6,6,0,0,0,4,1,0,11,9,0,0,0,4,0,4
213,33,0,0,0,0,0,3,6,0,14,3,0,22,8,15,1,0,0,6,3,0,16,11,1,0,4,2,0,4
214,8,0,0,0,0,1,1,1,1,2,1,0,9,1,6,2,0,1,1,0,0,7,3,0,0,2,0,0,0
215,15,0,0,0,1,0,3,0,1,2,0,0,16,5,5,0,0,0,1,0,0,12,7,0,0,1,3,0,4
216,12,0,0,0,0,1,2,2,0,5,2,0,6,5,7,2,0,0,3,2,0,8,3,0,0,1,1,0,0
217,21,0,0,0,0,0,2,3,1,6,2,0,17,5,10,2,0,1,4,1,0,11,9,0,0,0,4,0,4
218,20,1,0,0,1,1,1,4,0,8,4,0,12,6,10,1,0,0,6,2,1,12,6,0,0,0,3,0,0
219,15,0,1,0,0,3,1,1,1,11,0,1,6,5,8,2,0,1,4,1,0,6,5,0,0,1,1,0,0
220,26,0,0,0,0,2,3,3,2,11,3,0,15,11,15,3,0,1,5,1,0,11,12,0,0,1,4,0,6
221,16,0,0,0,1,1,2,3,1,8,2,0,8,8,11,1,0,0,5,2,0,8,7,0,0,1,2,0,2
222,24,0,0,0,0,1,3,4,0,9,3,0,14,9,12,1,0,0,4,2,0,15,8,0,0,1,3,0,0
223,21,0,0,0,0,1,3,3,0,12,1,0,9,8,10,1,0,0,4,2,0,11,6,0,0,1,2,0,0
224,24,0,0,0,0,1,1,3,1,8,3,0,14,8,10,1,0,0,6,1,0,11,9,1,0,1,3,0,2
225,16,0,0,0,0,3,1,0,0,8,0,1,6,6,4,2,0,1,4,1,0,7,5,0,0,0,2,0,0
226,21,0,0,0,0,1,3,2,1,7,1,0,15,8,10,2,0,0,2,1,0,15,7,0,0,0,4,0,2
